domain,stage,cohort,arm,metric,training_pass,optimizer_step,seed_43,seed_44,seed_45,seed_46,seed_47,mean,min,max,is_terminal,is_complete_12
Python factors,A,pye70,grpo,mean8,6,2304,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,A,pye70,grpo,pass8,6,2304,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,A,pye70,grpo,distinct8,6,2304,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,A,pye70,grpo,greedy,9,3456,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,A,pye70,grpo,mean8,9,3456,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,A,pye70,grpo,pass8,9,3456,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,A,pye70,grpo,distinct8,9,3456,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0,1
Python factors,A,pye70,grpo,greedy,12,4608,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,1,1
Python factors,A,pye70,grpo,mean8,12,4608,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,1,1
Python factors,A,pye70,grpo,pass8,12,4608,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,1,1
Python factors,A,pye70,grpo,distinct8,12,4608,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,0.171875,1,1
Python factors,A,pye70,verified_first_global_replay_canonical,greedy,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,mean8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,pass8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,distinct8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,greedy,3,1152,0.6328125,1.0,0.1953125,0.9765625,0.203125,0.6015625,0.1953125,1.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,mean8,3,1152,0.6171875,1.0,0.206787109375,0.904541015625,0.20654296875,0.58701171875,0.20654296875,1.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,pass8,3,1152,0.66796875,1.0,0.2265625,1.0,0.21875,0.62265625,0.21875,1.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,distinct8,3,1152,0.685546875,2.0,0.2265625,1.23046875,0.23046875,0.874609375,0.2265625,2.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,greedy,6,2304,0.9921875,1.0,0.21875,1.0,0.21875,0.6859375,0.21875,1.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,mean8,6,2304,0.989013671875,1.0,0.208740234375,0.998046875,0.21630859375,0.682421875,0.208740234375,1.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,pass8,6,2304,1.0,1.0,0.21875,1.0,0.2265625,0.6890625,0.21875,1.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,distinct8,6,2304,2.078125,2.0,0.21875,1.03515625,0.2265625,1.11171875,0.21875,2.078125,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,greedy,9,3456,1.0,1.0,0.203125,1.0,0.2265625,0.6859375,0.203125,1.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,mean8,9,3456,0.993408203125,0.997802734375,0.205810546875,0.95654296875,0.216796875,0.674072265625,0.205810546875,0.997802734375,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,pass8,9,3456,1.0,1.0,0.21875,1.0,0.2265625,0.6890625,0.21875,1.0,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,distinct8,9,3456,2.439453125,2.0,0.220703125,2.228515625,0.240234375,1.42578125,0.220703125,2.439453125,0,1
Python factors,A,pye70,verified_first_global_replay_canonical,greedy,12,4608,0.9921875,1.0,0.203125,1.0,0.21875,0.6828125,0.203125,1.0,1,1
Python factors,A,pye70,verified_first_global_replay_canonical,mean8,12,4608,0.99267578125,0.98046875,0.201171875,0.97314453125,0.2216796875,0.673828125,0.201171875,0.99267578125,1,1
Python factors,A,pye70,verified_first_global_replay_canonical,pass8,12,4608,1.0,1.0,0.2109375,1.0,0.2265625,0.6875,0.2109375,1.0,1,1
Python factors,A,pye70,verified_first_global_replay_canonical,distinct8,12,4608,2.619140625,2.19921875,0.2109375,2.712890625,0.2265625,1.59375,0.2109375,2.712890625,1,1
MathIR action menu,A,mie70,grpo,greedy,0,0,0.0546875,0.0546875,0.0625,0.0625,0.0625,0.059375,0.0546875,0.0625,0,1
MathIR action menu,A,mie70,grpo,mean8,0,0,0.035888671875,0.035888671875,0.037841796875,0.037841796875,0.037841796875,0.037060546875,0.035888671875,0.037841796875,0,1
MathIR action menu,A,mie70,grpo,pass8,0,0,0.21484375,0.21484375,0.2265625,0.2265625,0.2265625,0.221875,0.21484375,0.2265625,0,1
MathIR action menu,A,mie70,grpo,distinct8,0,0,0.21484375,0.21484375,0.234375,0.234375,0.234375,0.2265625,0.21484375,0.234375,0,1
MathIR action menu,A,mie70,grpo,greedy,3,1152,0.0859375,0.1328125,0.1328125,0.109375,0.0546875,0.103125,0.0546875,0.1328125,0,1
