domain,track,arm,metric,training_pass,optimizer_step,seed_43,seed_44,seed_45,mean,min,max,is_terminal,is_registered_checkpoint
Graph coloring,modebench,verified_first_global_replay_canonical,distinct8,1,192,1.6875,2.0390625,2.0833332538604736,1.9366319179534912,1.6875,2.0833332538604736,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,distinct8,2,384,2.0625,2.1015625,2.109375,2.0911458333333335,2.0625,2.109375,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,distinct8,3,576,1.9921875,2.1015625,2.328125,2.140625,1.9921875,2.328125,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,distinct8,4,768,2.0572917461395264,2.03125,2.25,2.1128472487131753,2.03125,2.25,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,distinct8,5,960,2.2916667461395264,2.0807292461395264,2.21875,2.1970486640930176,2.0807292461395264,2.2916667461395264,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,distinct8,6,1152,2.4791667461395264,2.1015625,2.3177082538604736,2.2994791666666665,2.1015625,2.4791667461395264,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,distinct8,8,1536,2.3697917461395264,2.4244792461395264,2.2552082538604736,2.3498264153798423,2.2552082538604736,2.4244792461395264,0,1
Graph coloring,modebench,verified_first_global_replay_canonical,distinct8,10,1920,2.3359375,2.3020832538604736,2.3932292461395264,2.34375,2.3020832538604736,2.3932292461395264,0,1
Graph coloring,modebench,same_plumbing_actuator_off_control,greedy,0,0,0.34375,0.34375,0.34375,0.34375,0.34375,0.34375,0,1
Graph coloring,modebench,same_plumbing_actuator_off_control,greedy,1,192,0.375,0.3541666567325592,0.2916666567325592,0.3402777711550395,0.2916666567325592,0.375,0,1
Graph coloring,modebench,same_plumbing_actuator_off_control,mean8,0,0,0.1881510466337204,0.1881510466337204,0.1881510466337204,0.1881510466337204,0.1881510466337204,0.1881510466337204,0,1
Graph coloring,modebench,same_plumbing_actuator_off_control,mean8,1,192,0.306640625,0.2923177182674408,0.2828775942325592,0.2939453125,0.2828775942325592,0.306640625,0,1
Graph coloring,modebench,same_plumbing_actuator_off_control,pass8,0,0,0.484375,0.484375,0.484375,0.484375,0.484375,0.484375,0,1
Graph coloring,modebench,same_plumbing_actuator_off_control,pass8,1,192,0.8645833134651184,0.8828125,0.8489583134651184,0.8654513756434122,0.8489583134651184,0.8828125,0,1
Graph coloring,modebench,same_plumbing_actuator_off_control,distinct8,0,0,0.6744791865348816,0.6744791865348816,0.6744791865348816,0.6744791865348816,0.6744791865348816,0.6744791865348816,0,1
Graph coloring,modebench,same_plumbing_actuator_off_control,distinct8,1,192,1.8671875,2.1015625,1.7734375,1.9140625,1.7734375,2.1015625,0,1
Countdown,modebench,grpo,greedy,0,0,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0,1
Countdown,modebench,grpo,greedy,1,384,0.3359375,0.3359375,0.3203125,0.3307291666666667,0.3203125,0.3359375,0,1
Countdown,modebench,grpo,greedy,2,768,0.46875,0.46875,0.34375,0.4270833333333333,0.34375,0.46875,0,1
Countdown,modebench,grpo,greedy,3,1152,0.4921875,0.4609375,0.453125,0.46875,0.453125,0.4921875,0,1
Countdown,modebench,grpo,greedy,4,1536,0.5703125,0.5546875,0.4765625,0.5338541666666666,0.4765625,0.5703125,0,1
Countdown,modebench,grpo,greedy,5,1920,0.59375,0.53125,0.5703125,0.5651041666666666,0.53125,0.59375,0,1
Countdown,modebench,grpo,mean8,0,0,0.0126953125,0.0126953125,0.0126953125,0.0126953125,0.0126953125,0.0126953125,0,1
Countdown,modebench,grpo,mean8,1,384,0.313720703125,0.288330078125,0.284423828125,0.2954915364583333,0.284423828125,0.313720703125,0,1
Countdown,modebench,grpo,mean8,2,768,0.458984375,0.434326171875,0.358154296875,0.4171549479166667,0.358154296875,0.458984375,0,1
Countdown,modebench,grpo,mean8,3,1152,0.478515625,0.464111328125,0.456298828125,0.46630859375,0.456298828125,0.478515625,0,1
Countdown,modebench,grpo,mean8,4,1536,0.5615234375,0.5390625,0.486083984375,0.5288899739583334,0.486083984375,0.5615234375,0,1
Countdown,modebench,grpo,mean8,5,1920,0.593994140625,0.537353515625,0.565185546875,0.5655110677083334,0.537353515625,0.593994140625,0,1
Countdown,modebench,grpo,pass8,0,0,0.087890625,0.087890625,0.087890625,0.087890625,0.087890625,0.087890625,0,1
Countdown,modebench,grpo,pass8,1,384,0.400390625,0.578125,0.42578125,0.4680989583333333,0.400390625,0.578125,0,1
Countdown,modebench,grpo,pass8,2,768,0.580078125,0.5625,0.4921875,0.544921875,0.4921875,0.580078125,0,1
Countdown,modebench,grpo,pass8,3,1152,0.576171875,0.533203125,0.537109375,0.548828125,0.533203125,0.576171875,0,1
Countdown,modebench,grpo,pass8,4,1536,0.5859375,0.595703125,0.5546875,0.5787760416666666,0.5546875,0.595703125,0,1
Countdown,modebench,grpo,pass8,5,1920,0.6484375,0.572265625,0.603515625,0.6080729166666666,0.572265625,0.6484375,0,1
Countdown,modebench,grpo,distinct8,0,0,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0,1
Countdown,modebench,grpo,distinct8,1,384,0.560546875,0.89453125,0.7109375,0.7220052083333334,0.560546875,0.89453125,0,1
Countdown,modebench,grpo,distinct8,2,768,0.677734375,0.6796875,0.587890625,0.6484375,0.587890625,0.6796875,0,1
Countdown,modebench,grpo,distinct8,3,1152,0.685546875,0.556640625,0.60546875,0.6158854166666666,0.556640625,0.685546875,0,1
Countdown,modebench,grpo,distinct8,4,1536,0.677734375,0.611328125,0.576171875,0.6217447916666666,0.576171875,0.677734375,0,1
Countdown,modebench,grpo,distinct8,5,1920,0.75,0.587890625,0.61328125,0.650390625,0.587890625,0.75,0,1
Countdown,modebench,verified_first_global_replay_canonical,greedy,0,0,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0,1
Countdown,modebench,verified_first_global_replay_canonical,greedy,1,384,0.3203125,0.375,0.4453125,0.3802083333333333,0.3203125,0.4453125,0,1
Countdown,modebench,verified_first_global_replay_canonical,greedy,2,768,0.4765625,0.5625,0.5078125,0.515625,0.4765625,0.5625,0,1
Countdown,modebench,verified_first_global_replay_canonical,greedy,3,1152,0.515625,0.578125,0.5703125,0.5546875,0.515625,0.578125,0,1
Countdown,modebench,verified_first_global_replay_canonical,greedy,4,1536,0.5234375,0.6171875,0.625,0.5885416666666666,0.5234375,0.625,0,1
Countdown,modebench,verified_first_global_replay_canonical,greedy,5,1920,0.609375,0.625,0.640625,0.625,0.609375,0.640625,0,1
Countdown,modebench,verified_first_global_replay_canonical,greedy,6,2304,0.6015625,0.59375,0.6328125,0.609375,0.59375,0.6328125,0,1
Countdown,modebench,verified_first_global_replay_canonical,mean8,0,0,0.0126953125,0.0126953125,0.0126953125,0.0126953125,0.0126953125,0.0126953125,0,1
Countdown,modebench,verified_first_global_replay_canonical,mean8,1,384,0.3251953125,0.3251953125,0.355712890625,0.3353678385416667,0.3251953125,0.355712890625,0,1
Countdown,modebench,verified_first_global_replay_canonical,mean8,2,768,0.44287109375,0.49951171875,0.4755859375,0.47265625,0.44287109375,0.49951171875,0,1
Countdown,modebench,verified_first_global_replay_canonical,mean8,3,1152,0.487548828125,0.539794921875,0.54052734375,0.5226236979166666,0.487548828125,0.54052734375,0,1
Countdown,modebench,verified_first_global_replay_canonical,mean8,4,1536,0.491943359375,0.57861328125,0.556396484375,0.5423177083333334,0.491943359375,0.57861328125,0,1
Countdown,modebench,verified_first_global_replay_canonical,mean8,5,1920,0.55859375,0.57568359375,0.577392578125,0.570556640625,0.55859375,0.577392578125,0,1
Countdown,modebench,verified_first_global_replay_canonical,mean8,6,2304,0.561767578125,0.5693359375,0.583251953125,0.5714518229166666,0.561767578125,0.583251953125,0,1
Countdown,modebench,verified_first_global_replay_canonical,pass8,0,0,0.087890625,0.087890625,0.087890625,0.087890625,0.087890625,0.087890625,0,1
Countdown,modebench,verified_first_global_replay_canonical,pass8,1,384,0.5390625,0.60546875,0.658203125,0.6009114583333334,0.5390625,0.658203125,0,1
Countdown,modebench,verified_first_global_replay_canonical,pass8,2,768,0.626953125,0.6484375,0.6484375,0.6412760416666666,0.626953125,0.6484375,0,1
Countdown,modebench,verified_first_global_replay_canonical,pass8,3,1152,0.658203125,0.658203125,0.658203125,0.658203125,0.658203125,0.658203125,0,1
